Region,Time Frame,,% Water Demand Growth,% Non-Revenue Water,% Water Losses,System input volume (litres),Revenue water (litres),Non-Revenue water (litres),Water Losses (litres)
City of Johannesburg Metropolitan Municipality,2 018,,2.24,35.74,34.34,536 312 001.00,344 641 579.00,191 670 422.00,184 160 156.00
City of Tshwane Metropolitan Municipality,2 018,,-0.40,25.48,24.42,318 733 465.00,237 530 661.00,81 202 804.00,77 831 360.00
Ekurhuleni Metropolitan Municipality,2 018,,3.35,39.34,31.30,338 742 752.00,205 497 030.00,133 245 722.00,106 026 481.00
Emfuleni,2 018,,-1.12,48.80,48.80,82 417 605.00,42 197 813.76,40 219 791.24,40 219 791.00
Lesedi,2 018,,-1.73,23.00,23.00,6 328 721.00,4 873 115.17,1 455 605.83,1 455 606.00
Merafong City,2 018,,8.90,37.60,37.60,12 192 465.00,7 608 098.16,4 584 366.84,4 584 367.00
Midvaal,2 018,,4.25,34.30,34.30,13 538 671.00,8 894 906.85,4 643 764.15,4 643 764.00
Mogale City,2 018,,-10.13,29.20,29.20,27 141 000.00,19 215 828.00,7 925 172.00,7 925 172.00
Rand West City ,2 018,,0.50,28.52,27.06,17 054 900.00,12 190 600.00,4 864 300.00,4 615 050.00
Gauteng,2 018,,0.65,36.91,28.62,1 413 888 870.00,905 967 450.00,507 921 420.00,393 567 720.00
<b>Subject Area: Water Conservation & Demand Management</b><br />This theme focuses on activities to determine and improve water conservation and demand management (WCWDM) with a special focus on municipal Non-Revenue Water (NWR) and Water Losses. Municipal Non-revenue water as well as Water Losses are based on municipal inputs where available and DWS estimates where not available.<br /><br /><b>Data Topic : Municipal Non-revenue Water</b><br />Municipal Non-revenue Water<br /><br /><b>Data Topic Detail:</b> Water demand growth<br />,,<b>Data Source:</b> Census 2001 Modelled and Updated <br /><b>Update Frequency:</b> Annually<br /><b>Time Frame:</b> 2023<br /><b>Level Of Confidence:</b> 95 Percent,,,,,,,
