region,time_frame,unnamed__2,water_demand_growth,non_revenue_water,water_losses,system_input_volume__litres,revenue_water__litres,non_revenue_water__litres,water_losses__litres,water_demand_growth_change,water_demand_growth_pct_change,non_revenue_water_change,non_revenue_water_pct_change,water_losses_change,water_losses_pct_change
City of Johannesburg Metropolitan Municipality,2 018,Unknown,2.24,35.74,34.34,536 312 001.00,344 641 579.00,191 670 422.00,184 160 156.00,,,,,,
City of Tshwane Metropolitan Municipality,2 018,Unknown,-0.4,25.48,24.42,318 733 465.00,237 530 661.00,81 202 804.00,77 831 360.00,-2.64,-1.1785714285714286,-10.260000000000002,-0.28707330721880253,-9.920000000000002,-0.28887594641817127
Ekurhuleni Metropolitan Municipality,2 018,Unknown,3.35,39.34,31.3,338 742 752.00,205 497 030.00,133 245 722.00,106 026 481.00,3.75,-9.375,13.860000000000003,0.543956043956044,6.879999999999999,0.2817362817362816
Emfuleni,2 018,Unknown,-1.12,48.8,48.8,82 417 605.00,42 197 813.76,40 219 791.24,40 219 791.00,-4.470000000000001,-1.3343283582089551,9.459999999999994,0.24046771733604455,17.499999999999996,0.559105431309904
Lesedi,2 018,Unknown,-1.73,23.0,23.0,6 328 721.00,4 873 115.17,1 455 605.83,1 455 606.00,-0.6099999999999999,0.544642857142857,-25.799999999999997,-0.5286885245901639,-25.799999999999997,-0.5286885245901639
Merafong City,2 018,Unknown,8.9,37.6,37.6,12 192 465.00,7 608 098.16,4 584 366.84,4 584 367.00,10.63,-6.144508670520231,14.600000000000001,0.6347826086956523,14.600000000000001,0.6347826086956523
Midvaal,2 018,Unknown,4.25,34.3,34.3,13 538 671.00,8 894 906.85,4 643 764.15,4 643 764.00,-4.65,-0.5224719101123596,-3.3000000000000043,-0.0877659574468086,-3.3000000000000043,-0.0877659574468086
Mogale City,2 018,Unknown,-10.13,29.2,29.2,27 141 000.00,19 215 828.00,7 925 172.00,7 925 172.00,-14.38,-3.383529411764706,-5.099999999999998,-0.14868804664723023,-5.099999999999998,-0.14868804664723023
Rand West City,2 018,Unknown,0.5,28.52,27.06,17 054 900.00,12 190 600.00,4 864 300.00,4 615 050.00,10.63,-1.0493583415597236,-0.6799999999999997,-0.023287671232876672,-2.1400000000000006,-0.07328767123287672
Gauteng,2 018,Unknown,0.65,36.91,28.62,1 413 888 870.00,905 967 450.00,507 921 420.00,393 567 720.00,0.15000000000000002,0.30000000000000004,8.389999999999997,0.29417952314165485,1.5600000000000023,0.05764966740576516
<b>Subject Area: Water Conservation & Demand Management</b><br />This theme focuses on activities to determine and improve water conservation and demand management (WCWDM) with a special focus on municipal Non-Revenue Water (NWR) and Water Losses. Municipal Non-revenue water as well as Water Losses are based on municipal inputs where available and DWS estimates where not available.<br /><br /><b>Data Topic : Municipal Non-revenue Water</b><br />Municipal Non-revenue Water<br /><br /><b>Data Topic Detail:</b> Water demand growth<br />,Unknown,<b>Data Source:</b> Census 2001 Modelled and Updated <br /><b>Update Frequency:</b> Annually<br /><b>Time Frame:</b> 2023<br /><b>Level Of Confidence:</b> 95 Percent,0.575,35.02,30.25,Unknown,Unknown,Unknown,Unknown,-0.07500000000000007,-0.11538461538461553,-1.8899999999999935,-0.05120563532917888,1.629999999999999,0.05695317959468893
