Region,Time Frame,,Regional/local water scheme (operated by municipality or other w,Borehole,Spring,Rain water tank,Dam/pool/stagnant water,River/stream,Water vendor,Water tanker,Other,Not applicable
City of Johannesburg Metropolitan Municipality,Oct 2011,,1 371 966,14 478,1 215,1 556,1 531,424,5 592,20 887,15 833,0
City of Tshwane Metropolitan Municipality,Oct 2011,,825 746,25 730,1 231,1 426,2 409,550,5 615,30 864,16 983,0
Ekurhuleni Metropolitan Municipality,Oct 2011,,972 647,10 997,985,1 065,923,253,3 703,9 247,14 629,0
Emfuleni,Oct 2011,,211 967,3 781,98,395,225,90,619,425,2 295,0
Lesedi,Oct 2011,,26 377,2 495,68,55,98,28,40,193,279,0
Merafong City,Oct 2011,,61 972,1 412,45,289,40,16,140,1 492,1 134,0
Midvaal,Oct 2011,,22 691,5 556,60,27,50,23,122,1 027,358,0
Mogale City,Oct 2011,,101 404,10 167,147,167,532,134,811,2 586,1 294,0
Gauteng,Oct 2011,,3 594 770,74 616,3 849,4 980,5 808,1 518,16 642,66 721,52 805,0
"<b>Subject Area: Census 2011 Results</b><br />This theme will report on Census 2011 results with a specific focus on population figures, household figures, socio economic facts as well as access to basic water supply. <br /><br /><b>Data Topic : Census 2011 Results</b><br />Census 2011 Results<br /><br /><b>Data Topic Detail:</b> Source of Water Households <br />",,"<b>Data Source:</b> <a style=""font-weight: bold;color:red;"" href=""http://www.statssa.gov.za"" target=""_blank"" >Statistics SA</a><br /><b>Update Frequency:</b> Annually<br /><b>Time Frame:</b> Oct 2011<br /><b>Level Of Confidence:</b> 95 Percent",,,,,,,,,,
