Region,Time Frame,,Piped (tap) water inside dwelling/institution,Piped (tap) water inside yard,Piped (tap) water on community stand: distance less than 200m fr,Piped (tap) water on community stand: distance between 200m and ,Piped (tap) water on community stand: distance between 500m and ,Piped (tap) water on community stand: distance greater than 1000,No access to piped (tap) water,Unspecified,Not applicable
City of Johannesburg Metropolitan Municipality,Oct 2011,,928 267,386 020,73 265,18 453,6 353,1 970,19 553,0,0
City of Tshwane Metropolitan Municipality,Oct 2011,,585 274,227 278,47 986,12 204,4 942,2 228,30 873,0,0
Ekurhuleni Metropolitan Municipality,Oct 2011,,580 851,303 882,75 741,25 119,13 247,4 783,11 132,0,0
Emfuleni,Oct 2011,,153 874,53 421,7 287,2 312,1 311,535,1 211,0,0
Lesedi,Oct 2011,,15 533,11 813,1 583,214,51,115,346,0,0
Merafong City,Oct 2011,,35 228,20 263,7 030,2 153,1 127,111,670,0,0
Midvaal,Oct 2011,,19 456,5 371,2 384,1 000,292,167,1 256,0,0
Mogale City,Oct 2011,,64 270,38 103,7 008,2 725,1 142,602,3 424,0,0
Gauteng,Oct 2011,,2 382 753,1 046 151,222 284,64 180,28 465,10 511,68 465,0,0
"<b>Subject Area: Census 2011 Results</b><br />This theme will report on Census 2011 results with a specific focus on population figures, household figures, socio economic facts as well as access to basic water supply. <br /><br /><b>Data Topic : Census 2011 Results</b><br />Census 2011 Results<br /><br /><b>Data Topic Detail:</b> Piped Water Households <br />",,"<b>Data Source:</b> <a style=""font-weight: bold;color:red;"" href=""http://www.statssa.gov.za"" target=""_blank"" >Statistics SA</a><br /><b>Update Frequency:</b> Annually<br /><b>Time Frame:</b> Oct 2011<br /><b>Level Of Confidence:</b> 95 Percent",,,,,,,,,
